                   frame  Start Frame
    0.083 ms   157 cook  Forcing nodes to cook at start of frame
    0.001 ms       misc   Grab Network Data
    0.000 ms       misc   Grab Network Data
    0.000 ms       misc   Grab Network Data
    0.013 ms       misc   Network Message Check /project1/Send/oscin2 (DAT:oscin)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/oscin2 (DAT:oscin)
    0.193 ms   754 cook    Chain Start  /project1/Send/oscin2 (DAT:oscin)
    0.716 ms       script     /project1/Send/oscin2_callbacks /project1/Send/oscin2_callbacks (DAT:text)
    0.005 ms  2099 cook      /local/time/clock (CHOP:null)
    0.015 ms  2099 cook       /local/time/scrubber (CHOP:switch)
    0.008 ms  2099 cook        /local/time/independent (CHOP:switch)
    0.014 ms  2099 cook         /local/time/cframe (CHOP:speed)
    0.001 ms       misc   Network Message Check /project1/Send/oscout1 (DAT:oscout)
    0.001 ms       misc   Network Message Check /project1/Send/oscout2 (DAT:oscout)
    0.003 ms       misc   Network Message Check /project1/Send/oscout_SoundCOM (DAT:oscout)
    0.001 ms       misc   Network Message Check /project1/Send/oscout_MainCOM_UE5 (DAT:oscout)
    0.001 ms       misc   Network Message Check /project1/Receive/oscin2 (DAT:oscin)
    0.001 ms       misc   Network Message Check /project1/Receive/oscin4 (DAT:oscin)
    0.013 ms  2097 cook   Chain Start  /project1/Send/chopexec (DAT:chopexec)
    0.002 ms  2097 cook     /project1/Send/null4 (CHOP:null)
    0.042 ms  2097 cook      /project1/Send/filter2 (CHOP:filter)
    0.016 ms  2097 cook       /project1/Send/merge21 (CHOP:merge)
    0.004 ms  2097 cook        /project1/Send/merge20 (CHOP:merge)
    0.006 ms  2097 cook         /project1/Send/merge2 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/null5 (CHOP:null)
    0.007 ms  2097 cook           /project1/Send/math6 (CHOP:math)
    0.019 ms  2097 cook            /project1/Send/shoulder_l_Pos (CHOP:select)
    0.025 ms  2097 cook             /project1/Send/kinectazure2 (CHOP:kinectazure)
    0.004 ms  2097 cook         /project1/Send/merge3 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math8 (CHOP:math)
    0.008 ms  2097 cook           /project1/Send/shoulder_r_Pos1 (CHOP:select)
    0.004 ms  2097 cook        /project1/Send/merge19 (CHOP:merge)
    0.003 ms  2097 cook         /project1/Send/merge4 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/math10 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos (CHOP:select)
    0.003 ms  2097 cook         /project1/Send/merge1 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/math3 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/select_elbow_r_Pos (CHOP:select)
    0.003 ms  2097 cook        /project1/Send/merge17 (CHOP:merge)
    0.004 ms  2097 cook         /project1/Send/merge5 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/math12 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos1 (CHOP:select)
    0.003 ms  2097 cook         /project1/Send/merge6 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math14 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos2 (CHOP:select)
    0.003 ms  2097 cook        /project1/Send/merge18 (CHOP:merge)
    0.004 ms  2097 cook         /project1/Send/merge7 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/math16 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos3 (CHOP:select)
    0.001 ms  2097 cook          /project1/Send/null11 (CHOP:null)
    0.003 ms  2097 cook           /project1/Send/math17 (CHOP:math)
    0.007 ms  2097 cook            /project1/Send/elbow_l_Rotation3 (CHOP:select)
    0.004 ms  2097 cook        /project1/Send/merge16 (CHOP:merge)
    0.003 ms  2097 cook         /project1/Send/merge8 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math18 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos4 (CHOP:select)
    0.003 ms  2097 cook         /project1/Send/merge9 (CHOP:merge)
    0.002 ms  2097 cook          /project1/Send/math20 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos5 (CHOP:select)
    0.004 ms  2097 cook        /project1/Send/merge15 (CHOP:merge)
    0.003 ms  2097 cook         /project1/Send/merge10 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math22 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos6 (CHOP:select)
    0.003 ms  2097 cook         /project1/Send/merge11 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math24 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos7 (CHOP:select)
    0.004 ms  2097 cook        /project1/Send/merge14 (CHOP:merge)
    0.003 ms  2097 cook         /project1/Send/merge12 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math26 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos8 (CHOP:select)
    0.003 ms  2097 cook         /project1/Send/merge13 (CHOP:merge)
    0.003 ms  2097 cook          /project1/Send/math28 (CHOP:math)
    0.007 ms  2097 cook           /project1/Send/elbow_l_Pos9 (CHOP:select)
    0.015 ms  2097 cook   Chain Start  /project1/Send/chopexec4 (DAT:chopexec)
    0.002 ms  2097 cook     /project1/Send/null2 (CHOP:null)
    0.011 ms  2097 cook      /project1/Send/merge22 (CHOP:merge)
    0.004 ms  2097 cook       /project1/Send/rename1 (CHOP:rename)
    0.007 ms  2097 cook        /project1/Send/lag7 (CHOP:lag)
    0.007 ms  2097 cook         /project1/Send/limit1 (CHOP:limit)
    0.003 ms  2097 cook          /project1/Send/math2 (CHOP:math)
    0.004 ms  2097 cook           /project1/Send/select_pelvis (CHOP:select)
    0.166 ms  2098 cook            /project1/Send/oscin3 (CHOP:oscin)
    0.002 ms  2097 cook       /project1/Send/rename2 (CHOP:rename)
    0.003 ms  2097 cook        /project1/Send/lag8 (CHOP:lag)
    0.003 ms  2097 cook         /project1/Send/limit2 (CHOP:limit)
    0.003 ms  2097 cook          /project1/Send/math42 (CHOP:math)
    0.003 ms  2097 cook           /project1/Send/select_pelvis1 (CHOP:select)
    0.003 ms  2097 cook       /project1/Send/rename3 (CHOP:rename)
    0.003 ms  2097 cook        /project1/Send/lag5 (CHOP:lag)
